序号,单位名称,类别,地址,辖区,评级时间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2194,深圳市城建景东幼儿园食堂,学校食堂（民办）,深圳市福田区莲花街道景田东路2号一楼北侧,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2195,深圳市福田区梅华小学食堂,学校食堂（公办）,深圳市福田区梅林街道凯丰路20号,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2196,深圳市福田区教育科学研究院第二附属小学食堂,学校食堂（公办）,深圳市福田区香蜜湖街道农林路教育科学研究院第二附属小学综合楼一楼,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2197,深圳市福田区上沙小学职工食堂,学校食堂（公办）,深圳市福田区沙头街道上沙村上沙小学宿舍楼一楼东侧,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2198,深圳市福田区上沙中学食堂,学校食堂（公办）,深圳市福田区沙头街道福荣路上沙中学内B座综合楼一楼,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2199,深圳市福田区南园小学食堂,学校食堂（公办）,深圳市福田区南园街道松岭路三十号南园小学教学楼二楼,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200,深圳市福田区金地莱恩幼儿园食堂,学校食堂（民办）,深圳市福田区沙头街道新洲南路金地海景花园A区金地莱恩幼儿园一楼东面,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2201,深圳市福田区福苑小学食堂,学校食堂（公办）,深圳市福田区福保街道福田区保税区四号门附近，东临石厦北一街，西临凤凰道，南临绒花路，北接红柳道可至桂花路福苑小学东北角1楼,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2202,深圳市福田区福新小学食堂,学校食堂（公办）,深圳市福田区福田街道中心一路福新小学一栋一楼,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203,深圳市博记木屋餐厅,连锁餐饮,深圳市福田区华富街道深南中路田面村常安楼一层H、二层H,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2204,深圳市中医肛肠医院（福田）（深圳市福田区肛肠专科医院）食堂,单位食堂,深圳市福田区南园街道松岭路1、2、6号旧楼六楼,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2205,悦兰苑（深圳）餐饮管理有限公司,大型餐馆,深圳市福田区福田街道福安社区福华一路117号华安保险总部大厦3楼、4楼,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,深圳大秦小宴餐饮管理有限公司,大型餐馆,深圳市福田区福田街道福华三路皇庭广场L1-29,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2207,深圳市福田区爱心培新新幼儿园食堂,学校食堂（民办）,深圳市福田区福保街道石厦街新新家园幼儿园一楼西北侧,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208,深圳市福田区红蜻蜓幼儿园食堂,学校食堂（民办）,深圳市福田区莲花街道景田六片区红蜻蜓幼儿园一楼西侧,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2209,深圳市第一职业技术学校食堂,学校食堂（公办）,深圳市福田区华富街道皇岗路3009号深圳市第一职业技术学校东北角,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,深圳市福田区全海小学食堂,学校食堂（公办）,深圳市福田区福保街道新洲南路全海小学校内宿舍楼一楼,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2211,深圳市福田区黄埔学校中学部教工食堂,学校食堂（公办）,深圳市福田区莲花街道福中一路3009号黄埔学校综合楼一楼右侧,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2212,深圳市福田区黄埔学校小学部教工食堂,学校食堂（公办）,深圳市福田区莲花街道民田路218号黄埔学校小学部综合楼一楼东侧,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2213,深圳艺术学校食堂,学校食堂（公办）,深圳市福田区园岭街道上步中路白沙岭百花二路16号深圳艺术学校综合楼一楼,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2214,深圳市粤江春餐饮管理有限公司福田分公司,大型餐馆,深圳市福田区福保街道新港社区福强路3004号中港城新钰阁、新银阁、新鼎阁607,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2215,深圳市高级中学南校区师生食堂,学校食堂（公办）,深圳市福田区香蜜湖街道农林路28号校园内D座一楼,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2216,深圳市福田区翰林实验学校食堂,学校食堂（公办）,深圳市福田区梅林街道彩田北路7032号校内东座生活楼一、二层,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2217,深圳市福田区梅园小学食堂,学校食堂（公办）,深圳市福田区梅林街道梅亭路16号梅园小学南侧教学楼一楼,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2218,深圳市福田区梅山小学食堂,学校食堂（公办）,深圳市福田区梅林街道梅林一村西梅山小学北面教工宿舍楼一楼,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2219,深圳市高级中学中心校区（北）师生食堂,学校食堂（公办）,深圳市福田区香蜜湖街道泽田路8号深圳市高级中学中心校区（北）男生宿舍楼一楼,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2220,深圳市福田区文天祥小学食堂,学校食堂（公办）,深圳市福田区福田街道岗厦一路9号文天祥小学内东南方一楼,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2221,深圳市福田区侨香外国语学校食堂,学校食堂（公办）,深圳市福田区香蜜湖街道安托山九路6号侨香外国语学校内E栋一、二层,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2222,深圳市福田区快乐宝贝幼儿园食堂,学校食堂（民办）,深圳市福田区莲花街道景田西路9号幼儿园内一楼北侧,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2223,深圳市福田区保税区外国语小学食堂,学校食堂（民办）,深圳市福田区福保街道福强路1049号学校一楼东侧,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2224,深圳市福田区特蕾新都市幼儿园食堂,学校食堂（民办）,深圳市福田区沙头街道都市花园御庭轩幼儿园内一楼南侧,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2225,深圳市福田区博雅石厦第一幼儿园食堂,学校食堂（民办）,深圳市福田区福保街道石厦北四街4号幼儿园内一楼东侧,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2226,深圳市福田区红岭中学（红岭教育集团）石厦校区食堂,学校食堂（公办）,深圳市福田区福保街道石厦北二街1号红岭中学生活楼一层,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2227,深圳市福田区益田花园学校食堂,学校食堂（民办）,深圳市福田区福保街道福强路南侧益田花园内益田花园学校一楼西侧,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2228,深圳市福田区福田村幼儿园食堂,学校食堂（民办）,福田区福田街道福祥街87号福田村幼儿园一楼南侧,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2229,深圳市福田区碧海云天幼儿园食堂,学校食堂（民办）,深圳市福田区沙头街道侨城东路碧海云天小区碧海云天幼儿园一楼东侧,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2230,深圳市福田区南华实验学校食堂,学校食堂（公办）,深圳市福田区福田街道福星路158-1号南华实验学校内西南角一楼,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2231,深圳市福田区红岭实验小学食堂,学校食堂（公办）,深圳市福田区香蜜湖街道侨香四道22号红岭实验小学教学楼综合楼北区负一楼,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2232,深圳亚米餐饮管理有限公司华强北九方分店,中型餐馆,深圳市福田区华强北街道华航社区华富路1018号中航华强北九方购物中心北区4层402-403商铺,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2233,深圳市福田区博雅香域中央幼儿园食堂,学校食堂（民办）,深圳市福田区香蜜湖街道农园路香域中央小区内幼儿园内一楼东侧,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2234,深圳市福田区园岭顺德佬酒楼,大型餐馆,深圳市福田区园岭街道 红荔中路园岭趣园食街114-116号二楼211.212.213号,福田区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2235,深圳市仙桐实验小学食堂,学校食堂（公办）,深圳市罗湖区莲塘街道长岭路9号,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2236,深圳市东晓小学食堂,学校食堂（公办）,深圳市罗湖区东湖街道东晓路3018号,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2237,深圳市水田小学食堂,学校食堂（公办）,深圳市罗湖区翠竹街道田贝四路水田二街1号水田小学综合楼1层,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2238,深圳市罗湖区嘉宝田幼儿园食堂,学校食堂（公办）,深圳市罗湖区笋岗街道宝安北路嘉宝田花园嘉宝田幼儿园内一楼,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2239,深圳市翠北实验小学食堂,学校食堂（公办）,深圳市罗湖区翠竹街道田贝四路1号翠北实验小学功能楼1楼,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2240,深圳市向西小学食堂,学校食堂（公办）,深圳市罗湖区南湖街道向西路19号,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2241,深圳市罗芳小学食堂,学校食堂（公办）,深圳市罗湖区黄贝街道罗芳路39号,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2242,深圳市罗湖区湖贝小学食堂,学校食堂（公办）,深圳市罗湖区东门街道湖贝路2176号,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2243,深圳市靖轩小学食堂,学校食堂（公办）,深圳市罗湖区黄贝街道沿河北路1007,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2244,深圳市大望学校食堂,学校食堂（公办）,深圳市罗湖区东湖街道大望村685号,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2245,深圳市笋岗小学食堂,学校食堂（公办）,深圳市罗湖区笋岗街道宝岗路146号笋岗小学综合楼一层,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2246,深圳市翠竹外国语实验学校一校区（临时校区）教工食堂,学校食堂（公办）,深圳市翠竹外国语实验学校一校区（临时校区）教工食堂,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2247,深圳市水库小学食堂,学校食堂（公办）,深圳市罗湖区东湖街道太安路99号,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248,深圳市罗湖区松泉幼儿园食堂,学校食堂（民办）,深圳市罗湖区东晓街道太白路4017号,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2249,深圳市罗湖区坭岗幼儿园食堂,学校食堂（民办）,深圳市罗湖区清水河街道坭岗村街心花园,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2250,深圳市罗湖区水库新村幼儿园食堂,学校食堂（公办）,深圳市罗湖区翠竹街道爱国路水库新村203号,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2251,深圳市红桂中学食堂,学校食堂（公办）,深圳市罗湖区桂园街道桂园路果园东7号,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2252,深圳市东昌小学食堂,学校食堂（公办）,深圳市罗湖区东晓街道翠竹北路9号,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2253,深圳市桂园小学食堂,学校食堂（公办）,深圳市罗湖区桂园街道桂园路红围街25号,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254,深圳市罗湖区阳光宝宝幼儿园,学校食堂（民办）,广东省深圳市罗湖区黄贝街道罗沙路5030号乐园研修楼一楼,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2255,深圳市凤光小学食堂,学校食堂（公办）,深圳市罗湖区清水河街道泥岗西路69号,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2256,深圳市罗湖教科院附属学校食堂,学校食堂（公办）,深圳市罗湖区清水河街道清水河一路100号深圳市罗湖教科院附属学校3号教学楼1楼,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2257,深圳市新秀小学食堂,学校食堂（公办）,深圳市罗湖区黄贝街道新秀路69号新秀小学宿舍楼一楼,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2258,深圳市泰宁小学食堂,学校食堂（公办）,深圳市罗湖区翠竹街道深圳市太宁路33号泰宁小学教学楼一楼,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2259,深圳市螺岭外国语实验学校食堂（二部）,学校食堂（公办）,深圳市罗湖区黄贝街道凤凰路凤凰街41号教学楼旁一层,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2260,深圳市莲塘小学,学校食堂（公办）,深圳市罗湖区莲塘街道聚宝路111号,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2261,深圳市翠竹外国语实验学校二校区食堂,学校食堂（公办）,深圳市罗湖区翠竹街道东门北路14号,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262,深圳市罗湖区教工幼教集团莲馨幼儿园食堂,学校食堂（公办）,深圳市罗湖区莲塘街道国威路21号莲馨家园教工幼儿园一楼东北侧,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2263,深圳市怡景小学食堂,学校食堂（公办）,深圳市罗湖区黄贝街道黄贝路1005号,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2264,深圳市罗湖区滨河实验中学,学校食堂（公办）,深圳市罗湖区和平路船步街50号,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2265,深圳市罗湖区童晖幼儿园食堂,学校食堂（民办）,深圳市罗湖区翠竹街道田贝一路龙屋住宅区,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2266,深圳市南湖小学食堂,学校食堂（公办）,深圳市罗湖区南湖街道友谊路48号南湖小学宿舍楼1楼,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2267,深圳市翠茵学校食堂,学校食堂（公办）,深圳市罗湖区东晓街道金稻田路2112号学校内3栋1楼,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2268,深圳市罗湖区清秀幼教集团雅乐幼儿园食堂,学校食堂（民办）,深圳市罗湖区东晓街道草埔吓屋村7号,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2269,深圳市罗湖区太阳升新春天幼儿园食堂,学校食堂（民办）,深圳市罗湖区笋岗街道宝岗路207号庐江春天公寓裙楼一层商铺,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2270,深圳市太阳岛幼儿园食堂,学校食堂（民办）,深圳市罗湖区黄贝街道怡景花园内牡丹村,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2271,深圳市罗湖区清秀幼教集团培知幼儿园,学校食堂（民办）,深圳市罗湖区莲塘街道莲塘仙桐路8号云景梧桐花园4栋一楼西,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2272,深圳市景贝小学食堂,学校食堂（公办）,深圳市罗湖区黄贝街道黄贝路景贝南住宅区景贝小学,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2273,深圳市罗湖区庐峰翠苑幼儿园食堂,学校食堂（公办）,深圳市罗湖区黄贝街道黄贝路庐峰翠苑小区金牛座B层,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2274,深圳小学食堂,学校食堂（公办）,深圳市罗湖区东门街道人民北路2171号深圳小学内生活楼一、二楼,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2275,深圳市罗湖区诺思外语实验学校食堂,学校食堂（民办）,深圳市罗湖区东湖街道梧桐山塘坑仔村132号9栋一楼,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2276,深圳市罗湖区华英学校食堂,学校食堂（民办）,深圳市罗湖区东湖街道望桐路武警五中队营区内,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2277,深圳市罗湖区仙湖幼儿园食堂,学校食堂（民办）,深圳市罗湖区莲塘街道仙湖路依仙湖居A、B栋负1层,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2278,深圳市罗湖区港人子弟学校食堂,学校食堂（民办）,深圳市罗湖区黄贝街道怡景路2012号,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2279,深圳市华丽小学食堂,学校食堂（公办）,深圳市罗湖区东晓街道金稻田路1148号比华利山庄内,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2280,深圳市罗湖区源兴居幼儿园食堂,学校食堂（公办）,深圳市罗湖区笋岗街道文锦北路1049号三座裙楼一楼,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2281,深圳市布心中学食堂,学校食堂（公办）,深圳市罗湖区东湖街道东湖中路3号布心中学,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2282,深圳市罗湖区鹿茵幼儿园食堂,学校食堂（民办）,深圳市罗湖区莲塘街道鹏兴路鹿茵翠地花园1-4栋一层,罗湖区,2019年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
