序号,单位名称,类别,地址,辖区,评级时间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,深圳圣廷苑酒店有限公司（世纪楼）,其他餐饮,深圳市福田区华强北路4014号,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,深圳市春满园东方世纪大酒楼有限公司,连锁餐饮,深圳市福田区华强北路长盛大厦二、三楼,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,深圳市春满园御景华城酒楼有限公司御景华城店,连锁餐饮,深圳市福田区滨河大道与华强南路交汇处御景华城花园35#201,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,深圳德膳饮食有限公司中餐厅,其他餐饮,深圳市福田区农园路香榭里紫园裙楼1-2层,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,金茂深圳酒店投资有限公司金茂深圳万豪酒店（中餐厅）,其他餐饮,深圳市福田区深南大道6005号东麒大厦二层部分,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,金茂深圳酒店投资有限公司金茂深圳万豪酒店（宴会厅）,其他餐饮,深圳市福田区深南大道6005号东麒大厦三层部分,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,金茂深圳酒店投资有限公司金茂深圳万豪酒店（大堂吧）,其他餐饮,深圳市福田区深南大道6005号东麒大厦一层部分,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,金茂深圳酒店投资有限公司金茂深圳万豪酒店（咖啡厅）,其他餐饮,深圳市福田区深南大道6005号东麒大厦二层部分,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,金茂深圳酒店投资有限公司金茂深圳万豪酒店（行政酒廊）,其他餐饮,深圳市福田区深南大道6005号东麒大厦27层部分,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,深圳市深航物业酒店管理有限公司深航锦江国际酒店（中餐厅）,其他餐饮,深圳市福田区深南大道6035号二楼,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
