Linux 3.10.0 (host-14187755e6af) 	12/23/2016 	_x86_64_	(32 CPU)

10:48:40 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:50:05 PM  all   17.97    0.03   16.60    0.03    0.00    0.13    0.00   55.64    0.03    9.57
10:50:06 PM  all   16.18    0.00   18.93    1.66    0.00    0.12    0.00   55.26    0.03    7.81
10:50:07 PM  all   11.66    0.00   13.12    5.28    0.00    0.25    0.00   55.12    0.03   14.53
10:50:08 PM  all   10.88    0.00   14.25    0.25    0.00    0.16    0.00   55.49    0.06   18.91
10:50:09 PM  all   10.93    0.03   16.31    0.19    0.00    0.09    0.00   54.51    0.06   17.87
10:50:10 PM  all    9.72    0.00   14.88    0.09    0.00    0.09    0.00   54.89    0.06   20.26
10:50:11 PM  all    8.97    0.03   17.00    0.25    0.00    0.19    0.00   54.81    0.00   18.75
10:50:12 PM  all   12.34    0.03   16.87    1.22    0.00    0.09    0.00   54.17    0.06   15.21
10:50:13 PM  all    8.97    0.03   16.16    2.84    0.00    0.13    0.00   54.70    0.09   17.07
10:50:14 PM  all    8.81    0.03   15.93    2.59    0.00    0.19    0.00   55.05    0.03   17.37
10:50:15 PM  all    9.38    0.00   14.82    0.31    0.00    0.13    0.00   54.95    0.03   20.38
10:50:16 PM  all    6.47    0.00   14.31    0.22    0.00    0.19    0.00   53.58    0.12   25.15
10:50:17 PM  all    8.82    0.06   12.85    0.13    0.00    0.16    0.00   54.99    0.03   22.98
10:50:18 PM  all   10.25    0.06   14.28    0.09    0.00    0.22    0.00   54.14    0.06   20.90
10:50:19 PM  all    7.16    0.00   13.12    0.06    0.00    0.28    0.00   53.87    0.03   25.47
10:50:20 PM  all    7.75    0.00   13.38    0.16    0.00    0.12    0.00   53.91    0.06   24.62
10:50:21 PM  all    7.09    0.06   13.84    0.31    0.00    0.12    0.00   53.62    0.06   24.88
10:50:22 PM  all   10.07    0.00   13.79    0.16    0.00    0.16    0.00   54.74    0.06   21.07
10:50:23 PM  all    7.78    0.03   14.22    0.44    0.00    0.12    0.00   53.41    0.06   23.94
10:50:24 PM  all    7.66    0.00   14.78    0.00    0.00    0.09    0.00   53.75    0.06   23.69
10:50:25 PM  all    9.18    0.03   13.28    0.12    0.00    0.16    0.00   54.23    0.03   22.96
10:50:26 PM  all    9.22    0.03   14.12    0.22    0.00    0.16    0.00   53.97    0.03   22.25
10:50:27 PM  all    8.59    0.00   13.84    0.22    0.00    0.19    0.00   54.12    0.06   22.97
10:50:28 PM  all    7.66    0.06   13.78    0.09    0.00    0.19    0.00   54.28    0.00   23.94
10:50:29 PM  all    7.50    0.00   14.50    0.03    0.00    0.09    0.00   54.61    0.06   23.19
10:50:30 PM  all    8.56    0.00   15.12    0.16    0.00    0.12    0.00   54.66    0.06   21.31
10:50:31 PM  all    8.03    0.00   15.53    0.12    0.00    0.12    0.00   54.69    0.03   21.47
10:50:32 PM  all   10.09    0.00   14.37    0.28    0.00    0.22    0.00   54.31    0.03   20.69
10:50:33 PM  all    6.97    0.03   13.46    0.34    0.00    0.19    0.00   54.58    0.03   24.40
10:50:34 PM  all    7.22    0.00   13.06    0.03    0.00    0.22    0.00   54.34    0.06   25.06
10:50:35 PM  all    8.69    0.00   13.56    0.12    0.00    0.06    0.00   54.37    0.06   23.12
10:50:36 PM  all    7.38    0.00   13.94    0.03    0.00    0.09    0.00   53.95    0.03   24.57
10:50:37 PM  all    6.50    0.03   12.68    0.28    0.00    0.12    0.00   54.17    0.03   26.18
10:50:38 PM  all    7.88    0.00   13.54    0.25    0.00    0.09    0.00   54.58    0.03   23.63
10:50:39 PM  all    8.53    0.03   13.09    0.00    0.00    0.16    0.00   54.42    0.03   23.74
10:50:40 PM  all    6.62    0.00   12.78    0.38    0.00    0.16    0.00   54.09    0.03   25.94
10:50:41 PM  all    7.34    0.03   13.65    0.06    0.00    0.12    0.00   54.05    0.03   24.71
10:50:42 PM  all   10.16    0.00   14.32    1.19    0.00    0.13    0.00   54.75    0.06   19.39
10:50:43 PM  all    7.84    0.03   14.66    2.62    0.00    0.09    0.00   53.62    0.03   21.09
10:50:44 PM  all    6.84    0.00   13.56    2.19    0.00    0.16    0.00   54.23    0.06   22.96
10:50:45 PM  all    8.19    0.00   13.66    0.47    0.00    0.22    0.00   54.16    0.03   23.28
10:50:46 PM  all    6.81    0.00   14.25    0.03    0.00    0.22    0.00   53.91    0.06   24.72
10:50:47 PM  all    8.84    0.03   14.12    0.12    0.00    0.19    0.00   53.56    0.03   23.09
10:50:48 PM  all    8.63    0.00   14.29    0.19    0.00    0.25    0.00   54.20    0.06   22.38
10:50:49 PM  all    7.31    0.00   12.96    0.03    0.00    0.16    0.00   54.48    0.06   24.99
10:50:50 PM  all    7.91    0.03   12.78    0.12    0.00    0.16    0.00   54.78    0.09   24.12
10:50:51 PM  all    8.34    0.03   13.59    0.06    0.00    0.16    0.00   54.03    0.03   23.75
10:50:52 PM  all    7.75    0.00   13.19    0.22    0.00    0.13    0.00   53.77    0.06   24.88
10:50:53 PM  all    6.65    0.00   14.34    0.31    0.00    0.16    0.00   54.36    0.06   24.12
10:50:54 PM  all    7.16    0.03   13.19    0.00    0.00    0.09    0.00   54.14    0.06   25.32
10:50:55 PM  all    8.81    0.00   13.56    0.25    0.00    0.19    0.00   53.36    0.06   23.77
10:50:56 PM  all    8.78    0.03   13.82    0.06    0.00    0.16    0.00   53.89    0.03   23.23
10:50:57 PM  all    8.12    0.03   13.34    0.19    0.00    0.22    0.00   54.44    0.03   23.62
10:50:58 PM  all    8.09    0.00   13.91    0.09    0.00    0.16    0.00   54.09    0.09   23.56
10:50:59 PM  all    7.47    0.03   14.78    0.06    0.00    0.16    0.00   54.26    0.09   23.15
10:51:00 PM  all    7.00    0.00   12.91    0.03    0.00    0.16    0.00   54.31    0.06   25.53
10:51:01 PM  all   10.28    0.03   14.54    0.09    0.00    0.19    0.00   54.02    0.31   20.54
10:51:02 PM  all   11.18    0.00   14.25    0.16    0.00    0.12    0.00   54.42    0.34   19.53
10:51:03 PM  all   11.44    0.00   15.28    0.12    0.00    0.25    0.00   54.75    0.22   17.94
10:51:04 PM  all   20.63    0.03   16.66    0.03    0.00    0.16    0.00   55.61    0.25    6.63
10:51:05 PM  all   21.09    0.03   14.00    0.06    0.00    0.09    0.00   55.88    0.16    8.69
10:51:06 PM  all   13.31    0.00   18.34    0.19    0.00    0.28    0.00   55.26    0.06   12.56
10:51:07 PM  all   10.66    0.00   13.81    0.22    0.00    0.16    0.00   54.69    0.00   20.47
10:51:08 PM  all    9.16    0.00   14.25    0.06    0.00    0.22    0.00   52.89    0.06   23.35
10:51:09 PM  all    9.87    0.03   14.59    0.28    0.00    0.12    0.00   54.92    0.06   20.12
10:51:10 PM  all    7.66    0.00   14.69    0.09    0.00    0.28    0.00   54.75    0.03   22.50
10:51:11 PM  all   10.12    0.03   16.44    0.12    0.00    0.19    0.00   55.19    0.00   17.91
10:51:12 PM  all   11.66    0.00   16.88    1.06    0.00    0.22    0.00   54.20    0.06   15.91
10:51:13 PM  all    8.91    0.03   16.94    1.84    0.00    0.16    0.00   54.37    0.00   17.75
10:51:14 PM  all    8.94    0.00   16.88    2.53    0.00    0.16    0.00   54.62    0.06   16.81
